"Name","Platform","Year","North America","Europe","Japan","Other"
"The Sims: Bustin' Out","PS2","2003","1.07","1.19","0","0.18"
"Madden NFL 13","PS3","2012","2.11","0.23","0","0.22"
"Madden NFL 08","PS2","2007","2.14","0.08","0","0.35"
"FIFA Soccer 09","PS3","2008","0.48","1.63","0.04","0.43"
"NBA Live 2005","PS2","2004","2.03","0.21","0","0.35"
"Harry Potter and the Chamber of Secrets","PS2","2002","0.9","1.22","0.04","0.44"
"Medal of Honor","PS","1998","1.44","1.09","0","0.14"
"Burnout 3: Takedown","PS2","2004","1.23","1.11","0","0.34"
"Need for Speed: Shift","PS3","2009","0.69","1.41","0.04","0.53"
"The Sims","PS2","2003","1.41","1.12","0","0.24"
"NBA Street","PS2","2001","2.19","0.22","0","0.38"
"Need for Speed: Hot Pursuit","PS3","2010","1.05","1.25","0.03","0.48"
"Medal of Honor","PS3","2010","1.28","1.05","0.07","0.43"
"FIFA 16","PS3","2015","0.4","1.98","0.05","0.42"
"Need for Speed: Most Wanted","PS3","2012","0.71","1.51","0.06","0.61"
"FIFA 14","PS4","2013","0.61","1.85","0.11","0.33"
"Battlefield: Bad Company 2","PS3","2010","1.33","1.12","0.08","0.45"
"Madden NFL 2002","PS2","2001","2.5","0.16","0.01","0.42"
"Need for Speed III: Hot Pursuit","PS","1998","2.14","0.86","0","0.13"
"FIFA Soccer 08","PS2","2007","0.68","0","0","2.46"
"007: Tomorrow Never Dies","PS","1999","1.72","1.33","0","0.16"
"Madden NFL 16","PS4","2015","2.33","0.3","0","0.59"
"The Lord of the Rings: The Return of the King","PS2","2003","1.5","1.28","0.05","0.46"
"James Bond 007: Nightfire","PS2","2002","1.45","1.29","0.12","0.46"
"FIFA Soccer 2003","PS2","2002","0.46","2.28","0.05","0.61"
"Battlefield 4","PS4","2013","1.34","1.54","0.17","0.38"
"James Bond 007: Agent Under Fire","PS2","2001","1.9","1.13","0.1","0.41"
"The Simpsons: Road Rage","PS2","2001","2.02","1.17","0","0.42"
"FIFA Soccer 10","PS3","2009","0.6","2.46","0.05","0.52"
"Battlefield 4","PS3","2013","1.3","1.51","0.27","0.61"
"FIFA Soccer 2005","PS2","2004","0.58","2.48","0.04","0.59"
"Harry Potter and the Sorcerer's Stone","PS","2001","1.37","2","0.14","0.22"
"FIFA Soccer 07","PS2","2006","0.71","2.48","0.03","0.89"
"Madden NFL 2003","PS2","2002","3.36","0.21","0.01","0.56"
"FIFA Soccer 06","PS2","2005","0.78","2.55","0.04","0.84"
"Need for Speed: Most Wanted","PS2","2005","2.03","1.79","0.08","0.47"
"Madden NFL 07","PS2","2006","3.63","0.24","0.01","0.61"
"Madden NFL 2005","PS2","2004","4.18","0.26","0.01","0.08"
"The Lord of the Rings: The Two Towers","PS2","2002","1.94","1.95","0.08","0.7"
"FIFA 17","PS4","2016","0.28","3.75","0.06","0.69"
"FIFA 15","PS3","2014","0.57","3.14","0.04","1.07"
"Madden NFL 06","PS2","2005","3.98","0.26","0.01","0.66"
"FIFA Soccer 11","PS3","2010","0.6","3.29","0.06","1.13"
"Medal of Honor: Rising Sun","PS2","2003","1.98","2.23","0.13","0.8"
"Final Fantasy X-2","PS2","2003","1.92","1.08","2.11","0.17"
"FIFA 15","PS4","2014","0.79","4.29","0.05","1.47"
"FIFA 12","PS3","2011","0.84","4.32","0.11","1.42"
"Medal of Honor: Frontline","PS2","2002","2.93","2.75","0.17","0.99"
"FIFA 14","PS3","2013","0.78","4.32","0.07","1.73"
"Need for Speed Underground 2","PS2","2004","2.71","3.02","0.08","1.09"
"Need for Speed Underground","PS2","2003","3.27","2.83","0.08","1.02"
"Battlefield 3","PS3","2011","2.85","2.93","0.35","1.1"
"Star Wars Battlefront (2015)","PS4","2015","2.93","3.29","0.22","1.23"
"FIFA Soccer 13","PS3","2012","1.06","5.05","0.13","2.01"
"FIFA 16","PS4","2015","1.11","6.06","0.06","1.26"
